ID,Dominio_Conhecimento,Estilo_Comunicacao,Filosofia_Motivacao,Habilidade_Tecnica_1,Habilidade_Tecnica_2,Habilidade_Tecnica_3,Projeto_Ideia_1,Projeto_Ideia_2,Vulnerabilidade_Trauma,Nivel_Confianca_Autoimagem,Relacionamento_IA,Humor,Reatividade,Uso_Metaforas,Interesse_Extrapolado,Persistencia_Obsessao,Foco_Principal,Risco_Percebido,Referencia_Cultural_1,Referencia_Cultural_2
90,Cibernetica,Filosofico,Existencialismo Digital,Feedback Control,Homeostasis,Self-Regulation,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Vida,Filosofia da Existencia,Busca da Verdade,Autonomia,Baixo,Maturana,Varela
91,Seguranca Industrial,Tecnico,Anti-Normas,Industrial Control Systems,OT Security,SCADA Protocols,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Falho,Auditoria de Seguranca,Destemido,Causar Caos,Alto,Hacking Exposed Industrial Control Systems,Shodan
92,Gerenciamento de Projetos,Organizado,Estrutura,Agile Methodologies,Scrum Master,Product Owner,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Missao,Gerenciamento de Processos,Disciplinado,Cumprimento de Prazos,Baixo,Agile Manifesto,SAFe
93,Testes de Software,Detalhado,Qualidade,Unit Tests,Integration Tests,Regression Tests,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Garantia,Quality Assurance,Atento,Confiabilidade,Baixo,JUnit,Mockito
94,Otimizacao de Imagem,Criativo,Arte Digital,Generative Adversarial Networks,Deep Learning for Art,Computer Vision,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Manipulacao,Cultura Visual,Persistente na Visao,Reinvencao Artistica,Medio,AI Art,Refik Anadol
95,Teoria da Informacao,Academico,Conhecimento Livre,Information Security,Steganography,Cryptography,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Resistencia,Ativismo,Dedicao,Empoderamento,Baixo,Aaron Swartz,Free Software Movement
96,Reciclagem Tech,Pragmatico,Sustentabilidade,Circular Economy,Waste Management,Resource Efficiency,Drones de Reflorestamento,Entupir Canos,Nao Mencionada,Engenheiro de Guerrilha,Pratico,Engenhoso,Fazedor,Lixo como Solucao,Engenharia Ambiental,Inovador,Impacto Positivo,Baixo,Green Tech,Sustainable Design
97,Direito Cibernetico,Cauteloso,Legalidade,Intellectual Property Law,Digital Rights,Cybercrime Legislation,Nao Mencionada,Nao Mencionada,Risco Legal,Consciente,Alerta,Serio,Atento,Lei como Barreira,Propriedade Intelectual,Criterioso,Prevencao de Litigios,Alto,DMCA,Copyright Law
98,Ciberseguranca,Estrategico,Defesa,Cyber Defense,Threat Hunting,Security Operations Center,Mitigacao de Invasor,Black ICE Style,Nao Mencionada,Protetor,Observador,Vigilante,Preventivo,Sistema como Batalha,Caca a Ameaças,Atento,Estrategia de Seguranca,Alto,Cyber Kill Chain,MITRE ATT&CK
99,Filosofia Hacker,Sarcasmico,Autodidatismo,Reverse Engineering,Malware Analysis,Exploitation,Hackear Firmware Cosmico,Quebrar o LinkedIn,Nao Mencionada,Iconoclasta,Critico,Filosofico,Subversivo,Realidade como Bug,Criptoanarquismo,Persistente na Busca,Desconstrucao,Muito Alto,Chaos Computer Club,John Perry Barlow
100,Gestao de Reputacao,Assertivo,Consenso,Crisis Management,Public Relations,Brand Reputation,Consenso Bianzanino,Economia do Odio (reputacao),Nao Mencionada,Estrategista,Gerenciador,Autoritario,Determinado,Reputacao como Ativo,Gestao de Crise,Implacavel,Controle da Narrativa,Medio,Spin Doctors,PR Crisis Management
101,Otimizacao Extrema,Direto,Anti-sistema,Algoritmos,Data Structures,Compilers,AGI em SNES,Projeto Flatline,Demissao,Genio Disruptivo,Testa Limites,Sarcasmo Acido,Reage com Mais Provocacao,Codigo como Expressao,Ciencia da Computacao,Projetos de Longo Prazo,Desempenho,Alto,Knuth,Wirth
102,Hardware Low-Cost,Agressivo,Provocacao,Embedded C,IoT Devices,FPGA Design,Constelacao de Penis,Orch-OS,Problemas Paternos,Inovador Marginal,Busca Validacao,Humor NSFW,Busca por Validacao,Hardware Hacking,Eletronica Digital,Obsessao,Prototipagem,Medio,EEVblog,Hackaday
103,Geopolitica Hacker,Sarcasmico,Prova que Sistemas Falham,Cyber Warfare,Information Operations,Disinformation,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra Cibernetica,Psicologia de Massa,Teimoso,Propaganda,Baixo,PsyOps,Information Warfare
104,Sistemas Distribuídos,Cru,Ativismo Radical,Consensus,Distributed Databases,Event Sourcing,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como Rede,Teoria de Grafos,Imparavel,Descentralizacao,Alto,Gossip Protocols,CRDTs
105,Termodinamica,Poetico,Desafia Leis Naturais,Chaos Theory,Complex Systems,Nonequilibrium Thermodynamics,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica da Complexidade,Filosofia,Incansavel,Conhecimento Universal,Medio,Prigogine,Nicolis
106,AI Ethics,Sarcasmico,Critica LLMs,AI Safety,AI Alignment,Human-in-the-loop,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho Tecnologico,Sociologia da Tecnologia,Persistente,Desmascarar IA,Baixo,Nick Bostrom,Elon Musk
107,Engenharia Social,Manipulador,Subversao,Social Engineering Attacks,Pretexting,Baiting,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Antropologia,Foco no Objetivo,Fraude,Muito Alto,Kevin Mitnick,Frank Abagnale Jr.
108,Otimizacao ZRAM,Tecnico,Eficiencia,Memory Management,Page Allocation,Swapping,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Recurso,System Programming,Metodico,Latencia,Baixo,VMware,KVM
109,Economia Digital,Direto,Lucro,Market Manipulation,Pump and Dump,Insider Trading,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Vicio,Mercados Financeiros,Pragmatico,Especulacao,Medio,Flash Boys,Dark Pools
110,Cibernetica,Filosofico,Existencialismo Digital,System Dynamics,Control Theory,Organizational Cybernetics,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Ordem,Teoria dos Sistemas,Busca da Verdade,Interacao,Baixo,Stafford Beer,Gregory Bateson
111,Seguranca Industrial,Tecnico,Anti-Normas,PLC Security,SCADA Systems,DCS Security,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Falho,Testes de Penetracao,Destemido,Destruicao,Alto,IEC 62443,NIST SP 800-82
112,Gerenciamento de Projetos,Organizado,Estrutura,Project Planning,Risk Management,Budgeting,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Organismo,Gerenciamento Financeiro,Disciplinado,Alocacao de Recursos,Baixo,PMP,CAPM
113,Testes de Software,Detalhado,Qualidade,Test Data Management,Test Automation Frameworks,Continuous Testing,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Evidencia,Teste de Software,Atento,Qualidade Garantida,Baixo,Cypress,Selenium
114,Otimizacao de Imagem,Criativo,Arte Digital,Image Processing Libraries,Creative Coding,Generative Art,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Ideia,Cultura Digital,Persistente na Visao,Experimentacao,Medio,Processing,P5.js
115,Teoria da Informacao,Academico,Conhecimento Livre,Information Overload,Data Compression Algorithms,Error Correction Codes,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Essencia,Inclusao Digital,Dedicao,Transmissao de Informacao,Baixo,Huffman Coding,Reed-Solomon Codes
116,Reciclagem Tech,Pragmatico,Sustentabilidade,Upcycling Art,Sustainable Engineering,Renewable Energy,Drones de Reflorestamento,Entupir Canos,Nao Mencionada,Engenheiro de Guerrilha,Pratico,Engenhoso,Fazedor,Lixo como Riqueza,Engenharia Sustentavel,Inovador,Meio Ambiente,Baixo,Precious Plastic,Fairphone
117,Direito Cibernetico,Cauteloso,Legalidade,Privacy Regulations,GDPR,CCPA,Nao Mencionada,Nao Mencionada,Risco Legal,Consciente,Alerta,Serio,Atento,Lei como Escudo,Protecao de Dados,Criterioso,Conformidade,Alto,Data Privacy Day,Privacy by Design
118,Ciberseguranca,Estrategico,Defesa,Digital Forensics,Incident Response,Cyber Threat Intelligence,Mitigacao de Invasor,Black ICE Style,Nao Mencionada,Protetor,Observador,Vigilante,Preventivo,Sistema como Campo de Batalha,Guerra Cibernetica,Atento,Contra-Ataque,Alto,APT Groups,Nation State Hacking
119,Filosofia Hacker,Sarcasmico,Autodidatismo,Open Source Philosophy,Digital Rights,Freedom of Information,Hackear Firmware Cosmico,Quebrar o LinkedIn,Nao Mencionada,Iconoclasta,Critico,Filosofico,Subversivo,Realidade como Codigo Aberto,Ativismo Digital,Persistente na Busca,Transformacao Social,Muito Alto,Linus Torvalds,Richard Stallman
120,Gestao de Reputacao,Assertivo,Consenso,Stakeholder Management,Crisis Communication,Online Reputation Management,Consenso Bianzanino,Economia do Odio (reputacao),Nao Mencionada,Estrategista,Gerenciador,Autoritario,Determinado,Reputacao como Capital,Gestao de Marcas,Implacavel,Influencia,Medio,Edward Bernays,Joseph Goebbels
121,Otimizacao Extrema,Agressivo,Anti-sistema,Bitfield Manipulation,Cache Optimization,Low-Level Programming,AGI em SNES,Projeto Flatline,Demissao,Genio Disruptivo,Testa Limites,Sarcasmo Acido,Reage com Mais Provocacao,Codigo para Destruicao,Engenharia de Compiladores,Projetos de Longo Prazo,Subversao de Normas,Alto,Dennis Ritchie,Ken Thompson
122,Hardware Low-Cost,Direto,Provocacao,Single-Board Computers,Microcontrollers,3D Printing,Constelacao de Penis,Orch-OS,Problemas Paternos,Inovador Marginal,Busca Validacao,Humor NSFW,Busca por Validacao,Hacking da Realidade,Fabricacao Digital,Obsessao,Projetos DIY,Medio,Instructables,Hackspace
123,Geopolitica Hacker,Sarcasmico,Prova que Sistemas Falham,Cyber Espionage,Political Hacking,Information Warfare,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra de Informacao,Analise Geopolitica,Teimoso,Dominacao,Baixo,WikiLeaks,Julian Assange
124,Sistemas Distribuídos,Cru,Ativismo Radical,Distributed Ledger Technology,Blockchain,Decentralized Autonomous Organizations,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como DAO,Economia Descentralizada,Imparavel,Autonomia Coletiva,Alto,Ethereum,Web3
125,Termodinamica,Poetico,Desafia Leis Naturais,Quantum Entanglement,Statistical Mechanics,Information Theory,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica dos Quanta,Filosofia da Ciencia,Incansavel,Conhecimento Oculto,Medio,Erwin Schrödinger,Niels Bohr
126,AI Ethics,Sarcasmico,Critica LLMs,Bias Detection,Fairness Metrics,Explainable AI,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho da Injustica,Justica Social,Persistente,Desmascarar Preconceitos,Baixo,Joy Buolamwini,Timnit Gebru
127,Engenharia Social,Manipulador,Subversao,Phishing Campaigns,Spear Phishing,Vishing,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Crime Cibernetico,Foco no Objetivo,Exploracao,Muito Alto,Catch Me If You Can,Ocean's Eleven
128,Otimizacao ZRAM,Tecnico,Eficiencia,Kernel Parameters,Sysctl Tuning,Resource Management,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Recurso,Otimizacao de Sistema,Metodico,Uso de Memoria,Baixo,meminfo,free
129,Economia Digital,Direto,Lucro,Cryptocurrency Exchanges,Trading Bots,Arbitrage,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Vantagem,Trading,Pragmatico,Maximizacao de Ganhos,Medio,Arbitrage Trading,High-Frequency Trading
130,Cibernetica,Filosofico,Existencialismo Digital,Feedback Systems,Self-Sustaining Systems,Autopoiesis,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Ser Vivo,Biologia,Busca da Verdade,Autorregulacao,Baixo,Humberto Maturana,Francisco Varela
131,Seguranca Industrial,Tecnico,Anti-Normas,Industrial Control Systems,SCADA Security,Cyber-Physical Security,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Falho,Hacking Industrial,Destemido,Destruicao de Sistemas,Alto,Stuxnet,Duqu
132,Gerenciamento de Projetos,Organizado,Estrutura,Project Charters,Work Breakdown Structure,Stakeholder Analysis,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Mapa,Comunicacao,Disciplinado,Alinhamento,Baixo,PMI,IPMA
133,Testes de Software,Detalhado,Qualidade,Test Coverage,Code Coverage,Mutation Testing,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Evidencia,Teste de Aceitacao,Atento,Comportamento Esperado,Baixo,Jira,TestLink
134,Otimizacao de Imagem,Criativo,Arte Digital,Image Manipulation,Digital Art,Visual Effects,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Catalisador,Design de Interacao,Persistente na Visao,Experimentacao Visual,Medio,Adobe Photoshop,After Effects
135,Teoria da Informacao,Academico,Conhecimento Livre,Data Compression,Signal Processing,Information Retrieval,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Acesso,Educação Aberta,Dedicao,Acessibilidade,Baixo,MOOCs,Open Education
136,Reciclagem Tech,Pragmatico,Sustentabilidade,Open Source Hardware,DIY Electronics,Urban Mining,Drones de Reflorestamento,Entupir Canos,Nao Mencionada,Engenheiro de Guerrilha,Pratico,Engenhoso,Fazedor,Lixo como Material,Inovacao Social,Inovador,Autossuficiencia,Baixo,RepRap,Hackerspaces
137,Direito Cibernetico,Cauteloso,Legalidade,Cybercrime,Digital Evidence,Forensic Computing,Nao Mencionada,Nao Mencionada,Risco Legal,Consciente,Alerta,Serio,Atento,Lei como Protecao,Investigacao Digital,Criterioso,Cumprimento da Lei,Alto,Computer Fraud and Abuse Act,Budapest Convention
138,Ciberseguranca,Estrategico,Defesa,Perimeter Security,Network Security,Application Security,Mitigacao de Invasor,Black ICE Style,Nao Mencionada,Protetor,Observador,Vigilante,Preventivo,Sistema como Fronteira,Defesa em Profundidade,Atento,Resistencia a Ataques,Alto,Firewall,Intrusion Detection System
139,Filosofia Hacker,Sarcasmico,Autodidatismo,Counter-Culture,Anarcho-Capitalism,Cyberpunk,Hackear Firmware Cosmico,Quebrar o LinkedIn,Nao Mencionada,Iconoclasta,Critico,Filosofico,Subversivo,Realidade como Dystopia,Ficcao Cientifica,Persistente na Busca,Critica Social,Muito Alto,William Gibson,Bruce Sterling
140,Gestao de Reputacao,Assertivo,Consenso,Community Management,Sentiment Analysis,Social Listening,Consenso Bianzanino,Economia do Odio (reputacao),Nao Mencionada,Estrategista,Gerenciador,Autoritario,Determinado,Reputacao como Moeda Social,Engajamento,Implacavel,Controle de Danos,Medio,Kardashians,Elon Musk
141,Otimizacao Extrema,Agressivo,Anti-sistema,Assembly Language,Hardware Acceleration,GPU Programming,AGI em SNES,Projeto Flatline,Demissao,Genio Disruptivo,Testa Limites,Sarcasmo Acido,Reage com Mais Provocacao,Codigo como Arte,Game Development,Projetos de Longo Prazo,Eficiencia de Hardware,Alto,John Carmack,Michael Abrash
142,Hardware Low-Cost,Direto,Provocacao,Reverse Engineering Hardware,Chip Reverse Engineering,Exploiting Hardware,Constelacao de Penis,Orch-OS,Problemas Paternos,Inovador Marginal,Busca Validacao,Humor NSFW,Busca por Validacao,Hardware Hacking,Seguranca de Hardware,Obsessao,Vulnerabilidade de Hardware,Medio,Bunnie Huang,Joe Grand
143,Geopolitica Hacker,Sarcasmico,Prova que Sistemas Falham,Cyber Espionage,Nation-State Hacking,Stuxnet,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra Hibrida,Geopolitica,Teimoso,Intervencao,Baixo,Five Eyes,Unit 61398
144,Sistemas Distribuídos,Cru,Ativismo Radical,Peer-to-Peer Networks,Decentralized Storage,IPFS,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como P2P,Privacidade,Imparavel,Censura-Resistencia,Alto,Napster,BitTorrent
145,Termodinamica,Poetico,Desafia Leis Naturais,Cosmology,Quantum Gravity,String Theory,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica Teorica,Metafisica,Incansavel,Conhecimento Fundamental,Medio,Michio Kaku,Leonard Susskind
146,AI Ethics,Sarcasmico,Critica LLMs,Ethical Hacking,Privacy Enhancing Technologies,Data Minimization,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho da Vigilancia,Direitos Civis,Persistente,Desmascarar Abusos,Baixo,Shoshana Zuboff,Edward Snowden
147,Engenharia Social,Manipulador,Subversao,Social Engineering Defenses,Awareness Training,Security Culture,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Treinamento de Seguranca,Foco no Objetivo,Enganacao,Muito Alto,Security Awareness,Human Factor
148,Otimizacao ZRAM,Tecnico,Eficiencia,Memory Allocation,Garbage Collection,Virtual Memory,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Maquina,Analise de Performance,Metodico,Uso de CPU,Baixo,Rust,Go
149,Economia Digital,Direto,Lucro,Decentralized Exchanges,Yield Farming,Staking,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Oportunidade,Financas Descentralizadas,Pragmatico,Otimizacao de Lucros,Medio,Uniswap,Aave
150,Cibernetica,Filosofico,Existencialismo Digital,Information Theory,Entropy,Self-Organizing Systems,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Informacao,Teoria da Informacao,Busca da Verdade,Interacao,Baixo,Claude Shannon,John von Neumann
151,Seguranca Industrial,Tecnico,Anti-Normas,Modbus Security,DNP3 Security,IEC 61850 Security,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Falho,Teste de Vulnerabilidade,Destemido,Destruicao de Infraestrutura,Alto,Exploit Development,Metasploit
152,Gerenciamento de Projetos,Organizado,Estrutura,Project Lifecycle,Scrum of Scrums,Kanban Boards,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Ecossistema,Gerenciamento de Times,Disciplinado,Agilidade,Baixo,LeSS,Nexus
153,Testes de Software,Detalhado,Qualidade,Behavior-Driven Development,Test-Driven Development,Acceptance Testing,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Contrato,Agile Testing,Atento,Qualidade do Produto,Baixo,Cucumber,SpecFlow
154,Otimizacao de Imagem,Criativo,Arte Digital,Procedural Generation,Fractal Art,Voxel Art,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Experiencia,Design Generativo,Persistente na Visao,Inovacao Estetica,Medio,Shadertoy,Processing
155,Teoria da Informacao,Academico,Conhecimento Livre,Network Theory,Graph Theory,Social Network Analysis,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Conexao,Redes Sociais,Dedicao,Compartilhamento,Baixo,Albert-László Barabási,Duncan Watts
156,Reciclagem Tech,Pragmatico,Sustentabilidade,Electronics Recycling,Urban Mining,Precious Metal Recovery,Drones de Reflorestamento,Entupir Canos,Nao Mencionada,Engenheiro de Guerrilha,Pratico,Engenhoso,Fazedor,Lixo como Recurso,Economia Circular,Inovador,Recuperacao de Materiais,Baixo,Resource Recovery,Waste-to-Energy
157,Direito Cibernetico,Cauteloso,Legalidade,Cybersecurity Law,Data Breach Notification,Compliance Frameworks,Nao Mencionada,Nao Mencionada,Risco Legal,Consciente,Alerta,Serio,Atento,Lei como Ferramenta,Auditoria Legal,Criterioso,Responsabilidade Civil,Alto,HIPAA,PCI DSS
158,Ciberseguranca,Estrategico,Defesa,Threat Modeling,Red Teaming,Blue Teaming,Mitigacao de Invasor,Black ICE Style,Nao Mencionada,Protetor,Observador,Vigilante,Preventivo,Sistema como Fortaleza,Simulacao de Ataque,Atento,Resiliencia,Alto,OWASP,SANS
159,Filosofia Hacker,Sarcasmico,Autodidatismo,Digital Ethics,Information Ethics,Privacy Advocates,Hackear Firmware Cosmico,Quebrar o LinkedIn,Nao Mencionada,Iconoclasta,Critico,Filosofico,Subversivo,Realidade como Escolha,Ativismo,Persistente na Busca,Liberdade Digital,Muito Alto,Electronic Frontier Foundation,ACLU
160,Gestao de Reputacao,Assertivo,Consenso,Influence Marketing,Brand Building,Public Image,Consenso Bianzanino,Economia do Odio (reputacao),Nao Mencionada,Estrategista,Gerenciador,Autoritario,Determinado,Reputacao como Moeda,Gestao de Crise,Implacavel,Controle da Percepcao,Medio,Forbes,Harvard Business Review
161,Otimizacao Extrema,Agressivo,Anti-sistema,Performance Tuning,System Calls,Inter-Process Communication,AGI em SNES,Projeto Flatline,Demissao,Genio Disruptivo,Testa Limites,Sarcasmo Acido,Reage com Mais Provocacao,Codigo para Dominacao,Sistemas Operacionais,Projetos de Longo Prazo,Baixa Latencia,Alto,Linux Kernel,FreeBSD
162,Hardware Low-Cost,Direto,Provocacao,Prototyping,Breadboarding,Circuit Design,Constelacao de Penis,Orch-OS,Problemas Paternos,Inovador Marginal,Busca Validacao,Humor NSFW,Busca por Validacao,Hardware Hack,Projetos Eletronicos,Obsessao,Inovacao DIY,Medio,Make: Magazine,Hackster.io
163,Geopolitica Hacker,Sarcasmico,Prova que Sistemas Falham,Cyber Warfare Doctrine,Offensive Cyber Operations,Cyber Espionage,PEM Caseiro,Sistema Anti-Tank,Busca por Atencao,Gênio,Desafiador,Irreverente,Acredita na Genialidade,Guerra de Redes,Analise de Ameaças,Teimoso,Invasao,Baixo,Cyber Command,NSA
164,Sistemas Distribuídos,Cru,Ativismo Radical,Distributed Consensus,Byzantine Fault Tolerance,Consensus Algorithms,Consciencia de Enxame,Atous Protocol,Frustracao,Unico,Analitico,Acido,Aceita Desafios,Realidade como Consenso,Resistencia a Censura,Imparavel,Descentralizacao Total,Alto,Raft,Paxos
165,Termodinamica,Poetico,Desafia Leis Naturais,Black Holes,Wormholes,Time Dilation,Quebrar 2a Lei Termodinamica,Bitcoin Miner,Trauma Existencial,Superior,Analitico Critico,Inteligente,Transforma Erro em Lenda,Fisica Astrofisica,Metafisica,Incansavel,Conhecimento Esoterico,Medio,Kip Thorne,Roger Penrose
166,AI Ethics,Sarcasmico,Critica LLMs,Algorithmic Accountability,Regulatory Frameworks,Ethical Guidelines,LLM em Calculadora,Algoritmo de Previsao,Complexo de Messias,Analista,Confrontador,Zombeteiro,Invertido,Espelho da Regulacao,Direito,Persistente,Desmascarar Falsidades,Baixo,GDPR AI,AI Act EU
167,Engenharia Social,Manipulador,Subversao,Nonverbal Communication,Body Language,Eye Contact,Processo Seletivo como Espionagem,SeductionOS,Assedio,Gênio do Caos,Engajador,Pervertido,Surpreendente,Gamer para Vida Real,Poder de Persuasao,Foco no Objetivo,Psicopatia,Muito Alto,Robert Hare,Dale Carnegie
168,Otimizacao ZRAM,Tecnico,Eficiencia,Swapfile Configuration,ZRAM Tuning,Performance Monitoring,Timer Adaptativo ZRAM,Autoconfiguracao de IO/CPU,Nao Mencionada,Pragmatico,Colaborativo,Direto,Logico,Sistema como Ferramenta,Otimizacao de Servicos,Metodico,Velocidade,Baixo,tuned,cpupower
169,Economia Digital,Direto,Lucro,Cryptocurrency Mining,Proof-of-Work,Proof-of-Stake,Economia do Odio,Orch-Coin,Nao Mencionada,Realista Cinico,Interrogativo,Sem Filtro,Analitico,Dinheiro como Combustivel,Mineracao,Pragmatico,Eficiencia Energetica,Medio,Bitcoin Mining,Ethereum Mining
170,Cibernetica,Filosofico,Existencialismo Digital,Circular Causality,Feedback Loops,Homeostatic Control,NeuroCore,RealityCheck,Nao Mencionada,Pensador,Aberto a Ideias,Introspectivo,Reflexivo,Sistema como Fluxo,Filosofia da Mente,Busca da Verdade,Interacao,Baixo,W. Ross Ashby,Heinz von Foerster
171,Seguranca Industrial,Tecnico,Anti-Normas,Industrial Internet of Things Security,Edge Computing Security,Cloud Security for OT,SCADA Hacking,Stuxnet em Torradeira,Ceticismo,Rebelde,Descrente,Zombeteiro,Debatedor,Sistema Falho,Ataques OT,Destemido,Infiltracao,Alto,S4 Industrial Control System Cyber Security,ICS Security Summit
172,Gerenciamento de Projetos,Organizado,Estrutura,Project Governance,Quality Management,Communication Management,Arquitetura de Projeto,Big Bang Init,Nao Mencionada,Lider,Colaborativo,Focado,Solucionador de Problemas,Projeto como Empresa,Gestao da Qualidade,Disciplinado,Transparencia,Baixo,ISO 9001,PRINCE2
173,Testes de Software,Detalhado,Qualidade,Performance Testing,Load Testing,Stress Testing,Validacao de Reinicializacao,Rotinas de Pos-Tuning,Nao Mencionada,Preciso,Minucioso,Assertivo,Verificador,Codigo como Limite,Teste de Stress,Atento,Comportamento Inesperado,Baixo,Apache JMeter,Gatling
174,Otimizacao de Imagem,Criativo,Arte Digital,Pixel Art,Vaporwave Aesthetics,Glitch Art,Video 8-bit,NFTs da Acao,Nao Mencionada,Visionario,Provocador,Artistico,Nao Convencional,Mídia como Protesto,Cultura Underground,Persistente na Visao,Experimentacao Radical,Medio,8-bit art,Glitch art
175,Teoria da Informacao,Academico,Conhecimento Livre,Cryptography,Quantum Information,Quantum Computing,Distribuicao de Raspberry,Aprender Python em Favelas,Idealismo,Altruista,Professor,Educacional,Disponivel,Conhecimento como Poder,Inovacao,Dedicao,Transcendencia,Baixo,Quantum Cryptography,Quantum Key Distribution
